symbol,date,side,weight_from,weight_to,delta,price_open,notional_usd,cost_usd,equity_after_usd
HON,2025-01-02,BUY,0.0,1.0,1.0,217.3766,50000.0,17.97,49640.85
HON,2025-01-08,SELL,1.0,0.0,-1.0,210.6946,48558.76,17.54,48541.22
HON,2025-01-23,BUY,0.0,0.1,0.1,213.9111,4854.12,3.51,48593.55
HON,2025-01-24,BUY,0.1,0.2,0.1,215.395,4859.35,3.52,48410.87
HON,2025-01-27,BUY,0.2,0.3,0.1,210.8477,4841.09,3.51,48684.76
HON,2025-01-29,BUY,0.3,0.4,0.1,211.5178,4835.94,3.51,48386.58
HON,2025-01-30,BUY,0.4,0.5,0.1,212.5709,4838.66,3.51,48711.49
HON,2025-03-28,BUY,0.5,1.0,0.5,206.2208,23893.12,9.51,46922.76
HON,2025-04-01,SELL,1.0,0.0,-1.0,203.1795,47236.83,17.17,47219.66
HON,2025-04-02,BUY,0.0,1.0,1.0,204.5077,47219.66,17.14,47767.71
HON,2025-04-07,SELL,1.0,0.0,-1.0,183.6421,42177.18,15.62,42161.56
HON,2025-04-28,BUY,0.0,0.1,0.1,192.073,4216.16,3.32,42189.95
HON,2025-04-29,BUY,0.1,0.2,0.1,199.657,4218.99,3.32,42636.45
HON,2025-04-30,BUY,0.2,1.0,0.8,203.1891,34109.16,12.73,42423.97
HON,2025-07-28,SELL,1.0,0.0,-1.0,217.7799,45400.88,16.31,45384.57
HON,2025-07-29,BUY,0.0,0.1,0.1,218.3216,4538.46,3.41,45313.63
HON,2025-07-30,BUY,0.1,0.2,0.1,215.1294,4531.36,3.41,45328.23
HON,2025-07-31,BUY,0.2,0.3,0.1,214.3265,4532.82,3.41,45336.58
HON,2025-08-01,BUY,0.3,0.4,0.1,214.1427,4533.66,3.41,44953.44
HON,2025-08-04,BUY,0.4,0.5,0.1,211.1922,4495.34,3.4,45267.28
HON,2025-10-24,BUY,0.5,1.0,0.5,214.8296,22708.18,9.12,44476.26
HON,2025-11-05,SELL,1.0,0.0,-1.0,202.3376,42907.52,15.61,42891.91
HON,2025-11-12,BUY,0.0,1.0,1.0,207.3517,42891.91,15.54,43128.45
HON,2025-11-19,SELL,1.0,0.0,-1.0,197.9034,41200.06,15.05,41185.02
HON,2025-11-21,BUY,0.0,0.1,0.1,195.4022,4118.5,3.29,41222.85
HON,2025-12-02,BUY,0.1,0.2,0.1,198.028,4122.82,3.29,41351.63
HON,2025-12-08,BUY,0.2,0.3,0.1,199.4188,4127.38,3.29,41313.25
HON,2025-12-11,BUY,0.3,0.4,0.1,199.9792,4131.83,3.29,41468.72
HON,2025-12-12,BUY,0.4,0.5,0.1,201.4738,4146.87,3.3,41445.17
HON,2025-12-16,BUY,0.5,1.0,0.5,204.9818,20924.38,8.57,42011.79
HON,2026-03-23,SELL,1.0,0.0,-1.0,234.6308,47144.92,16.74,47128.18
HON,2026-03-24,BUY,0.0,0.1,0.1,230.104,4712.82,3.47,47094.51
HON,2026-03-25,BUY,0.1,0.2,0.1,233.4522,4709.45,3.46,47269.58
HON,2026-04-01,BUY,0.2,0.3,0.1,236.9881,4728.22,3.47,47414.57
HON,2026-04-02,BUY,0.3,0.4,0.1,236.6543,4741.46,3.47,47516.2
HON,2026-04-09,BUY,0.4,0.5,0.1,240.6074,4776.83,3.48,48137.88
HON,2026-04-10,BUY,0.5,1.0,0.5,246.4901,24068.94,9.5,47920.7
HON,2026-04-15,SELL,1.0,0.0,-1.0,242.9334,47553.99,16.84,47537.15
HON,2026-04-16,BUY,0.0,0.1,0.1,241.6713,4753.71,3.48,47476.04
HON,2026-04-17,BUY,0.1,0.2,0.1,241.0768,4747.6,3.47,47644.42
HON,2026-04-20,BUY,0.2,0.3,0.1,243.3714,4764.44,3.48,47407.58
HON,2026-04-21,BUY,0.3,0.4,0.1,236.769,4740.76,3.47,46778.68
HON,2026-04-22,BUY,0.4,0.5,0.1,233.9424,4677.87,3.45,46542.62
HON,2026-05-22,BUY,0.5,1.0,0.5,236.5391,23567.97,9.36,47990.28
HON,2026-06-08,SELL,1.0,0.0,-1.0,224.216,45080.1,16.12,45063.98
HON,2026-06-11,BUY,0.0,0.1,0.1,218.0598,4506.4,3.4,45347.95
HON,2026-06-16,BUY,0.1,1.0,0.9,240.1678,40967.11,14.79,45919.74
HON,2026-07-01,SELL,1.0,0.0,-1.0,227.31,42714.44,15.37,42699.07
HON,2026-07-02,BUY,0.0,0.1,0.1,222.28,4269.91,3.33,42851.55
HON,2026-07-07,BUY,0.1,1.0,0.9,230.42,38588.65,14.07,41722.38
HON,2026-07-09,SELL,1.0,0.0,-1.0,221.22,40848.4,14.8,40833.6
HON,2026-07-10,BUY,0.0,0.1,0.1,224.05,4083.36,3.27,40885.03
HON,2026-07-15,BUY,0.1,0.2,0.1,222.5,4081.75,3.27,40820.15
HON,2026-07-16,BUY,0.2,0.3,0.1,221.17,4082.01,3.27,41010.8
HON,2026-07-23,BUY,0.3,1.0,0.7,238.0,28959.1,11.04,43685.6
