symbol,date,side,weight_from,weight_to,delta,price_open,notional_usd,cost_usd,equity_after_usd
EXC,2025-01-02,BUY,0.0,0.5,0.5,35.9317,25000.0,16.48,49818.71
EXC,2025-01-10,BUY,0.5,1.0,0.5,36.0644,25086.15,16.5,48983.32
EXC,2025-01-14,SELL,1.0,0.0,-1.0,35.6663,49324.76,32.64,49292.13
EXC,2025-01-16,BUY,0.0,1.0,1.0,35.9791,49292.13,32.46,50972.72
EXC,2025-05-14,SELL,1.0,0.0,-1.0,41.184,56791.08,34.83,56756.26
EXC,2025-05-15,BUY,0.0,0.1,0.1,41.1454,5675.63,4.11,56909.7
EXC,2025-05-16,BUY,0.1,0.2,0.1,41.599,5690.97,4.11,57080.53
EXC,2025-05-19,BUY,0.2,0.3,0.1,42.3422,5708.05,4.11,57193.95
EXC,2025-05-20,BUY,0.3,0.4,0.1,42.7669,5719.39,4.11,57122.8
EXC,2025-05-21,BUY,0.4,0.5,0.1,42.6028,5712.28,4.11,57073.61
EXC,2025-07-21,BUY,0.5,1.0,0.5,41.8886,28294.46,17.2,57001.87
EXC,2025-09-04,SELL,1.0,0.0,-1.0,42.5537,57068.14,34.42,57033.72
EXC,2025-09-05,BUY,0.0,0.1,0.1,42.4856,5703.37,4.1,57041.64
EXC,2025-09-08,BUY,0.1,0.2,0.1,42.3882,5704.16,4.1,56930.15
EXC,2025-09-09,BUY,0.2,0.3,0.1,41.8916,5693.01,4.11,56953.83
EXC,2025-09-10,BUY,0.3,0.4,0.1,41.9208,5695.38,4.11,57071.44
EXC,2025-09-11,BUY,0.4,0.5,0.1,42.1155,5707.14,4.11,57186.16
EXC,2025-09-24,BUY,0.5,1.0,0.5,43.0698,28835.7,17.29,57654.12
EXC,2025-12-03,SELL,1.0,0.0,-1.0,44.2416,59183.72,35.01,59148.71
EXC,2025-12-04,BUY,0.0,0.1,0.1,43.5834,5914.87,4.17,59060.65
EXC,2025-12-05,BUY,0.1,0.2,0.1,43.3477,5906.06,4.17,59030.01
EXC,2025-12-08,BUY,0.2,0.3,0.1,43.1905,5903.0,4.17,58832.76
EXC,2025-12-09,BUY,0.3,0.4,0.1,42.7485,5883.28,4.17,59061.55
EXC,2025-12-10,BUY,0.4,0.5,0.1,42.9842,5906.15,4.17,58733.48
EXC,2026-01-20,BUY,0.5,1.0,0.5,43.8192,29861.69,17.75,60000.51
EXC,2026-02-04,SELL,1.0,0.0,-1.0,43.6031,58755.92,35.01,58720.91
EXC,2026-02-09,BUY,0.0,1.0,1.0,43.3084,58720.91,35.11,58208.35
EXC,2026-04-20,SELL,1.0,0.0,-1.0,46.255,62749.15,36.32,62712.83
EXC,2026-04-21,BUY,0.0,0.1,0.1,45.9974,6271.28,4.28,62690.99
EXC,2026-04-22,BUY,0.1,0.2,0.1,46.146,6269.1,4.28,62576.92
EXC,2026-04-23,BUY,0.2,0.3,0.1,45.9479,6257.69,4.28,62935.24
EXC,2026-04-24,BUY,0.3,0.4,0.1,46.0073,6293.52,4.29,63024.22
EXC,2026-04-27,BUY,0.4,0.5,0.1,46.4829,6302.42,4.29,62798.31
EXC,2026-06-15,BUY,0.5,1.0,0.5,46.1,31444.89,18.23,62831.0
EXC,2026-08-03,SELL,1.0,0.0,-1.0,45.88,62340.41,36.23,62304.18
EXC,2026-08-05,BUY,0.0,0.1,0.1,45.83,6230.42,4.27,62289.04
EXC,2026-08-06,BUY,0.1,0.2,0.1,46.11,6228.9,4.26,62166.63
