,equity
2025-01-02,50000.0
2025-01-03,50000.0
2025-01-06,49897.43019581244
2025-01-07,49952.36155120144
2025-01-08,50066.79808879811
2025-01-10,49872.136829433424
2025-01-13,49859.012483890154
2025-01-14,49859.012483890154
2025-01-15,49859.012483890154
2025-01-16,49769.510160238984
2025-01-17,49748.63478082528
2025-01-21,49101.470773442015
2025-01-22,48598.33585996612
2025-01-23,48810.71213245145
2025-01-24,50511.78200854652
2025-01-27,50410.60666178893
2025-01-28,50400.12435744613
2025-01-29,49628.869530574826
2025-01-30,49929.912572274865
2025-01-31,49876.369897901175
2025-02-03,49243.87208952386
2025-02-04,49225.907699373165
2025-02-05,49225.907699373165
2025-02-06,48369.91388538378
2025-02-07,48293.229736745234
2025-02-10,48831.19393601111
2025-02-11,48711.305977149634
2025-02-12,48038.54151662664
2025-02-13,48291.379363865504
2025-02-14,46708.42616167618
2025-02-18,46937.120321957846
2025-02-19,47038.35479106396
2025-02-20,47135.78528596604
2025-02-21,47131.39260397465
2025-02-24,47696.8797812587
2025-02-25,47687.58125923604
2025-02-26,47687.58125923604
2025-02-27,47687.58125923604
2025-02-28,47687.58125923604
2025-03-03,47687.58125923604
2025-03-04,47687.58125923604
2025-03-05,47687.58125923604
2025-03-06,47687.58125923604
2025-03-07,47687.58125923604
2025-03-10,47687.58125923604
2025-03-11,47687.58125923604
2025-03-12,47687.58125923604
2025-03-13,47687.58125923604
2025-03-14,47687.58125923604
2025-03-17,47687.58125923604
2025-03-18,47687.58125923604
2025-03-19,47687.58125923604
2025-03-20,47687.58125923604
2025-03-21,47687.58125923604
2025-03-24,47687.58125923604
2025-03-25,47687.58125923604
2025-03-26,47687.58125923604
2025-03-27,47687.58125923604
2025-03-28,47687.58125923604
2025-03-31,47687.58125923604
2025-04-01,47687.58125923604
2025-04-02,47687.58125923604
2025-04-03,47687.58125923604
2025-04-04,47687.58125923604
2025-04-07,47687.58125923604
2025-04-08,47687.58125923604
2025-04-09,47687.58125923604
2025-04-10,47687.58125923604
2025-04-11,47687.58125923604
2025-04-14,47687.58125923604
2025-04-15,47687.58125923604
2025-04-16,47687.58125923604
2025-04-17,47687.58125923604
2025-04-21,47687.58125923604
2025-04-22,47687.58125923604
2025-04-23,47687.58125923604
2025-04-24,47687.58125923604
2025-04-25,47687.58125923604
2025-04-28,47687.58125923604
2025-04-29,47687.58125923604
2025-04-30,47687.58125923604
2025-05-01,47687.58125923604
2025-05-02,47082.82152585472
2025-05-05,47399.136950948116
2025-05-06,47566.70578205561
2025-05-07,47549.22656181001
2025-05-08,48973.96201545971
2025-05-09,48381.31847003979
2025-05-12,50843.93379568001
2025-05-13,52586.68733377055
2025-05-14,53381.699085246015
2025-05-15,52504.36656909802
2025-05-16,52742.663810315746
2025-05-19,52211.137258405644
2025-05-20,52138.81996202264
2025-05-21,50966.52673497393
2025-05-22,51851.30162311842
2025-05-23,51315.80475077192
2025-05-27,52714.70020763889
2025-05-28,52132.01960697138
2025-05-29,52445.32749419882
2025-05-30,52843.96304002666
2025-06-02,52781.73552666104
2025-06-03,53195.98591149531
2025-06-04,53661.21498106891
2025-06-05,54577.13837466092
2025-06-06,54762.49146606977
2025-06-09,54319.71711949979
2025-06-10,53766.49378459664
2025-06-11,53192.96063728708
2025-06-12,54082.83940535636
2025-06-13,53590.94526626373
2025-06-16,53919.38060677501
2025-06-17,54569.59530342838
2025-06-18,55704.68764644587
2025-06-20,55166.59732578534
2025-06-23,55605.155402696146
2025-06-24,55887.24386314688
2025-06-25,55761.7217734364
2025-06-26,55950.52205406722
2025-06-27,56155.00258160441
2025-06-30,56631.332576820576
2025-07-01,56208.34358890257
2025-07-02,56782.22563154854
2025-07-03,60880.835235372375
2025-07-07,60342.75568844169
2025-07-08,59060.90922325546
2025-07-09,58413.43229093839
2025-07-10,57338.00936918187
2025-07-11,56888.75322516422
2025-07-14,57029.0990262108
