symbol,entry_date,exit_date,entry_price_open,max_weight,equity_at_entry,equity_at_exit,pnl_usd,pnl_pct,buy_notional_usd,sell_notional_usd,buy_cost_usd,sell_cost_usd,total_cost_usd,n_buys,n_sells,exit_reason,cum_pnl_usd
CSCO,2025-01-06,2025-01-13,56.9894,1.0,50000.0,49858.94,-141.06,-0.002821,50000.0,49884.72,26.32,26.25,52.57,1,2,,-141.06
PCAR,2025-01-16,2025-01-17,106.0515,1.0,49858.94,49748.88,-110.06,-0.002207,49858.94,49769.76,21.02,20.88,41.9,1,1,,-251.12
PDD,2025-01-21,2025-01-28,108.07,1.0,49748.88,50400.55,651.67,0.013099,49748.88,49504.89,20.86,20.84,41.7,1,2,,400.54999999999995
ZS,2025-01-29,2025-02-04,203.87,1.0,50400.55,49226.33,-1174.22,-0.023298,50400.55,49244.29,18.31,17.96,36.27,1,1,,-773.6700000000001
IDXX,2025-02-06,2025-02-25,468.67,1.0,49226.33,47687.99,-1538.34,-0.03125,49226.33,47203.06,17.07,18.45,35.53,1,2,,-2312.01
DDOG,2025-05-02,2025-07-11,107.12,1.0,47687.99,57327.21,9639.22,0.202131,47687.99,55265.96,20.05,22.13,42.18,1,2,,7327.209999999999
CSGP,2025-07-11,2025-07-16,85.3,1.0,57327.21,56489.57,-837.64,-0.014611,57327.21,56765.97,25.87,25.62,51.49,1,2,,6489.569999999999
AMZN,2025-07-16,2025-07-18,225.88,1.0,56489.57,55744.22,-745.35,-0.013194,56489.57,55717.3,20.17,21.44,41.61,1,2,,5744.219999999998
CDNS,2025-07-18,2025-08-27,321.37,1.0,55744.22,57317.42,1573.2,0.028222,55744.22,56133.38,19.23,21.33,40.56,1,2,,7317.419999999998
CMCSA,2025-08-27,2025-08-29,30.0262,1.0,57317.42,57252.18,-65.24,-0.001138,57317.42,57385.38,41.82,41.79,83.61,1,2,,7252.1799999999985
PCAR,2025-08-29,2025-09-05,97.6763,1.0,57252.18,55231.32,-2020.86,-0.035297,57252.18,54967.35,24.74,23.92,48.66,1,2,,5231.319999999999
LRCX,2025-09-09,2025-10-13,104.3326,1.0,55231.32,69208.75,13977.43,0.253071,55231.32,69236.01,23.4,27.26,50.66,1,1,,19208.75
TTD,2025-10-13,2025-10-15,52.595,1.0,69208.75,67353.57,-1855.18,-0.026806,69208.75,67558.81,37.74,37.45,75.19,1,2,,17353.57
PEP,2025-10-15,2025-11-03,146.9906,1.0,67353.57,64889.86,-2463.71,-0.036579,67353.57,64916.18,26.12,25.38,51.49,1,2,,14889.86
TEAM,2025-11-03,2025-11-07,169.99,1.0,64889.86,60760.29,-4129.57,-0.06364,64889.86,61291.84,24.39,23.54,47.93,1,2,,10760.29
MAR,2025-11-10,2025-11-18,290.2963,1.0,60760.29,58994.56,-1765.73,-0.029061,60760.29,59014.96,20.93,20.41,41.34,1,1,,8994.560000000001
ADI,2025-11-26,2025-12-16,252.8354,1.0,58994.56,65813.6,6819.04,0.115588,58994.56,65836.39,20.71,22.79,43.5,1,1,,15813.600000000002
HON,2025-12-22,2026-01-02,205.7914,1.0,65813.6,64578.56,-1235.04,-0.018766,65813.6,64668.21,23.87,24.34,48.2,1,2,,14578.560000000001
AMD,2026-01-06,2026-01-08,222.71,1.0,64578.56,61949.14,-2629.42,-0.040717,64578.56,62284.51,23.11,23.55,46.66,1,2,,11949.140000000001
AMZN,2026-01-08,2026-01-21,243.06,1.0,61949.14,59179.1,-2770.04,-0.044715,61949.14,59200.17,21.87,21.06,42.94,1,1,,9179.100000000002
CMCSA,2026-01-23,2026-02-04,28.2618,1.0,59179.1,60257.47,1078.37,0.018222,59179.1,60302.14,44.77,44.67,89.44,1,1,,10257.470000000001
AMZN,2026-04-09,2026-05-12,225.23,1.0,60257.47,73780.32,13522.85,0.224418,60257.47,74052.54,21.53,27.02,48.55,1,2,,23780.32
MDB,2026-05-12,2026-05-28,307.74,1.0,73780.32,73558.94,-221.38,-0.003,73780.32,73583.97,25.23,25.03,50.25,1,1,,23558.94
AMAT,2026-05-29,2026-07-06,452.77,1.0,73558.94,97391.12,23832.18,0.323987,73558.94,97422.8,24.55,31.68,56.23,1,1,,47391.119999999995
ZS,2026-07-07,2026-07-08,152.74,1.0,97391.12,96752.53,-638.59,-0.006557,97391.12,96790.09,37.44,37.56,75.01,1,1,,46752.53
META,2026-07-10,2026-07-14,660.34,1.0,96752.53,100489.2,3736.67,0.038621,96752.53,100521.81,31.46,32.61,64.06,1,1,,50489.2
CTAS,2026-07-16,2026-07-17,198.74,1.0,100489.2,107535.78,7046.58,0.070123,100489.2,107574.75,36.67,38.97,75.64,1,1,,57535.78
ORLY,2026-08-05,,92.72,1.0,107535.78,109536.47,2000.69,0.018605,107535.78,0.0,47.22,0.0,47.22,1,0,OPEN,59536.47
